"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","testAddTag","Surefire suite","Sat Oct 04 19:50:26 UTC 2025","passed","Sat Oct 04 19:50:27 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","286","testAddTag","Surefire suite","Sat Oct 04 19:50:24 UTC 2025","passed","Sat Oct 04 19:50:24 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","538","testClickMenuItem","Surefire suite","Sat Oct 04 19:50:32 UTC 2025","passed","Sat Oct 04 19:50:33 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","2","testDynamic","Surefire suite","Sat Oct 04 19:49:52 UTC 2025","unknown","Sat Oct 04 19:49:52 UTC 2025","playground.tests.DynamicSelenideTest","Surefire test","playground.tests.DynamicSelenideTest","testDynamic"
"","484","testClickMenuItem","Surefire suite","Sat Oct 04 19:50:36 UTC 2025","passed","Sat Oct 04 19:50:36 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","0","testGetTitle","Surefire suite","Sat Oct 04 19:49:52 UTC 2025","unknown","Sat Oct 04 19:49:52 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testGetTitle"
"","200","testClickDropDownChooseItem","Surefire suite","Sat Oct 04 19:50:19 UTC 2025","broken","Sat Oct 04 19:50:19 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseItem"
"","442","testCloseBurgerMenu","Surefire suite","Sat Oct 04 19:50:12 UTC 2025","passed","Sat Oct 04 19:50:13 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testCloseBurgerMenu"
"","0","testShownInfoSuccess","Surefire suite","Sat Oct 04 19:49:52 UTC 2025","unknown","Sat Oct 04 19:49:52 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testShownInfoSuccess"
"","136","testPopUpTitlePage","Surefire suite","Sat Oct 04 19:50:32 UTC 2025","passed","Sat Oct 04 19:50:32 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpTitlePage"
"","198","testGetTitleOnBoardingPage","Surefire suite","Sat Oct 04 19:50:13 UTC 2025","passed","Sat Oct 04 19:50:13 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","327","testAssertMouseHoverPrice","Surefire suite","Sat Oct 04 19:50:17 UTC 2025","passed","Sat Oct 04 19:50:17 UTC 2025","playground.tests.MouseHoverTest","Surefire test","playground.tests.MouseHoverTest","testAssertMouseHoverPrice"
"","479","testClickMenuItem","Surefire suite","Sat Oct 04 19:50:37 UTC 2025","passed","Sat Oct 04 19:50:37 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","269","testAddTag","Surefire suite","Sat Oct 04 19:50:27 UTC 2025","passed","Sat Oct 04 19:50:28 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","562","testDeleteRecord","Surefire suite","Sat Oct 04 19:50:11 UTC 2025","passed","Sat Oct 04 19:50:11 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testDeleteRecord"
"","703","testScrollAndClickButton","Surefire suite","Sat Oct 04 19:50:23 UTC 2025","passed","Sat Oct 04 19:50:23 UTC 2025","playground.tests.CoveredElementsTest","Surefire test","playground.tests.CoveredElementsTest","testScrollAndClickButton"
"","203","testGetDropDownTitle","Surefire suite","Sat Oct 04 19:50:22 UTC 2025","passed","Sat Oct 04 19:50:22 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testGetDropDownTitle"
"","433","testClickAllStars","Surefire suite","Sat Oct 04 19:50:06 UTC 2025","passed","Sat Oct 04 19:50:07 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickAllStars"
"","536","testClickMenuItem","Surefire suite","Sat Oct 04 19:50:35 UTC 2025","passed","Sat Oct 04 19:50:35 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","0","testEnterTheCode","Surefire suite","Sat Oct 04 19:49:52 UTC 2025","unknown","Sat Oct 04 19:49:52 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testEnterTheCode"
"","25","testGetPercent","Surefire suite","Sat Oct 04 19:50:39 UTC 2025","broken","Sat Oct 04 19:50:39 UTC 2025","playground.tests.ShadowDomTest","Surefire test","playground.tests.ShadowDomTest","testGetPercent"
"","891","testAddRecord","Surefire suite","Sat Oct 04 19:50:09 UTC 2025","passed","Sat Oct 04 19:50:10 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testAddRecord"
"","259","testAddTag","Surefire suite","Sat Oct 04 19:50:25 UTC 2025","passed","Sat Oct 04 19:50:25 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","265","testAddTag","Surefire suite","Sat Oct 04 19:50:26 UTC 2025","passed","Sat Oct 04 19:50:26 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","314","testGetItem","Surefire suite","Sat Oct 04 19:50:15 UTC 2025","passed","Sat Oct 04 19:50:15 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testGetItem"
"","358","testClickDropDownChooseOtherItem","Surefire suite","Sat Oct 04 19:50:20 UTC 2025","broken","Sat Oct 04 19:50:20 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","575","testContainsItemAs","Surefire suite","Sat Oct 04 19:50:21 UTC 2025","broken","Sat Oct 04 19:50:21 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testContainsItemAs"
