"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","607","testClickMenuItem","Surefire suite","Mon Nov 10 17:34:33 UTC 2025","passed","Mon Nov 10 17:34:34 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","797","testAddRecord","Surefire suite","Mon Nov 10 17:34:03 UTC 2025","passed","Mon Nov 10 17:34:03 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testAddRecord"
"","531","testClickAllStars","Surefire suite","Mon Nov 10 17:33:59 UTC 2025","passed","Mon Nov 10 17:33:59 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickAllStars"
"","314","testGetRatingStarsNumber","Surefire suite","Mon Nov 10 17:34:02 UTC 2025","passed","Mon Nov 10 17:34:02 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testGetRatingStarsNumber"
"","163","testPopUpTitlePage","Surefire suite","Mon Nov 10 17:34:32 UTC 2025","passed","Mon Nov 10 17:34:32 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpTitlePage"
"","35","testGetPercent","Surefire suite","Mon Nov 10 17:34:41 UTC 2025","broken","Mon Nov 10 17:34:41 UTC 2025","playground.tests.ShadowDomTest","Surefire test","playground.tests.ShadowDomTest","testGetPercent"
"","517","testSortList","Surefire suite","Mon Nov 10 17:34:10 UTC 2025","passed","Mon Nov 10 17:34:11 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testSortList"
"","670","testClickDropDownChooseOtherItem","Surefire suite","Mon Nov 10 17:34:15 UTC 2025","passed","Mon Nov 10 17:34:15 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","632","testClickMenuItem","Surefire suite","Mon Nov 10 17:34:38 UTC 2025","passed","Mon Nov 10 17:34:39 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","29","testMainPage","Surefire suite","Mon Nov 10 17:34:28 UTC 2025","passed","Mon Nov 10 17:34:28 UTC 2025","playground.tests.PlayGroundMainTest","Surefire test","playground.tests.PlayGroundMainTest","testMainPage"
"","356","testGetTitleOnBoardingPage","Surefire suite","Mon Nov 10 17:34:07 UTC 2025","passed","Mon Nov 10 17:34:07 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","411","testAddTag","Surefire suite","Mon Nov 10 17:34:22 UTC 2025","passed","Mon Nov 10 17:34:23 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","444","testGetItem","Surefire suite","Mon Nov 10 17:34:09 UTC 2025","passed","Mon Nov 10 17:34:09 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testGetItem"
"","839","testGetItem","Surefire suite","Mon Nov 10 17:33:56 UTC 2025","passed","Mon Nov 10 17:33:57 UTC 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","testGetItem"
"","303","testGetTitle","Surefire suite","Mon Nov 10 17:34:29 UTC 2025","passed","Mon Nov 10 17:34:29 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testGetTitle"
"","795","testScrollAndClickButton","Surefire suite","Mon Nov 10 17:34:18 UTC 2025","passed","Mon Nov 10 17:34:19 UTC 2025","playground.tests.CoveredElementsTest","Surefire test","playground.tests.CoveredElementsTest","testScrollAndClickButton"
