"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","183","testAssertTitle","Surefire suite","Sat Oct 04 19:47:44 UTC 2025","passed","Sat Oct 04 19:47:44 UTC 2025","playground.tests.MouseHoverTest","Surefire test","playground.tests.MouseHoverTest","testAssertTitle"
"","361","testGetDropDownTitle","Surefire suite","Sat Oct 04 19:47:49 UTC 2025","passed","Sat Oct 04 19:47:50 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testGetDropDownTitle"
"","553","testGetTitleOnBoardingPage","Surefire suite","Sat Oct 04 19:47:38 UTC 2025","passed","Sat Oct 04 19:47:39 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","5","testCountName","Surefire suite","Sat Oct 04 19:47:27 UTC 2025","passed","Sat Oct 04 19:47:27 UTC 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","testCountName"
"","386","testAddTag","Surefire suite","Sat Oct 04 19:47:55 UTC 2025","passed","Sat Oct 04 19:47:55 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","646","testClickMenuItem","Surefire suite","Sat Oct 04 19:48:04 UTC 2025","passed","Sat Oct 04 19:48:04 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","522","testClickRatingStarsNumber","Surefire suite","Sat Oct 04 19:47:31 UTC 2025","passed","Sat Oct 04 19:47:32 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickRatingStarsNumber"
"","1","testDynamic","Surefire suite","Sat Oct 04 19:47:16 UTC 2025","unknown","Sat Oct 04 19:47:16 UTC 2025","playground.tests.DynamicSelenideTest","Surefire test","playground.tests.DynamicSelenideTest","testDynamic"
"","495","testAssertMouseHoverPrice","Surefire suite","Sat Oct 04 19:47:43 UTC 2025","passed","Sat Oct 04 19:47:44 UTC 2025","playground.tests.MouseHoverTest","Surefire test","playground.tests.MouseHoverTest","testAssertMouseHoverPrice"
"","683","testClickMenuItem","Surefire suite","Sat Oct 04 19:48:09 UTC 2025","passed","Sat Oct 04 19:48:10 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","481","testAddTag","Surefire suite","Sat Oct 04 19:47:57 UTC 2025","passed","Sat Oct 04 19:47:57 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","0","testGetTitle","Surefire suite","Sat Oct 04 19:47:16 UTC 2025","unknown","Sat Oct 04 19:47:16 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testGetTitle"
"","797","testScrollAndClickButton","Surefire suite","Sat Oct 04 19:47:51 UTC 2025","passed","Sat Oct 04 19:47:52 UTC 2025","playground.tests.CoveredElementsTest","Surefire test","playground.tests.CoveredElementsTest","testScrollAndClickButton"
"","679","testGetContextMenuItem","Surefire suite","Sat Oct 04 19:48:10 UTC 2025","passed","Sat Oct 04 19:48:11 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testGetContextMenuItem"
"","369","testGetItem","Surefire suite","Sat Oct 04 19:47:41 UTC 2025","passed","Sat Oct 04 19:47:41 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testGetItem"
"","659","testCloseBurgerMenu","Surefire suite","Sat Oct 04 19:47:37 UTC 2025","passed","Sat Oct 04 19:47:38 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testCloseBurgerMenu"
"","210","testPopUpTitlePage","Surefire suite","Sat Oct 04 19:48:03 UTC 2025","passed","Sat Oct 04 19:48:03 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpTitlePage"
"","369","testAddTag","Surefire suite","Sat Oct 04 19:47:56 UTC 2025","passed","Sat Oct 04 19:47:56 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
