"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","412","testCloseBurgerMenu","Surefire suite","Mon Oct 06 18:32:46 UTC 2025","passed","Mon Oct 06 18:32:46 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testCloseBurgerMenu"
"","750","testScrollAndClickButton","Surefire suite","Mon Oct 06 18:32:58 UTC 2025","passed","Mon Oct 06 18:32:59 UTC 2025","playground.tests.CoveredElementsTest","Surefire test","playground.tests.CoveredElementsTest","testScrollAndClickButton"
"","597","testShownInfoSuccess","Surefire suite","Mon Oct 06 18:33:08 UTC 2025","passed","Mon Oct 06 18:33:09 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testShownInfoSuccess"
"","266","testGetRatingStarsNumber","Surefire suite","Mon Oct 06 18:32:42 UTC 2025","passed","Mon Oct 06 18:32:42 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testGetRatingStarsNumber"
"","387","testInnerSubTitleIsSown","Surefire suite","Mon Oct 06 18:32:48 UTC 2025","passed","Mon Oct 06 18:32:49 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testInnerSubTitleIsSown"
"","466","testRemainingTags","Surefire suite","Mon Oct 06 18:33:06 UTC 2025","passed","Mon Oct 06 18:33:06 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testRemainingTags"
"","387","testGetItem","Surefire suite","Mon Oct 06 18:32:49 UTC 2025","passed","Mon Oct 06 18:32:50 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testGetItem"
"","331","testGetTitle","Surefire suite","Mon Oct 06 18:33:08 UTC 2025","passed","Mon Oct 06 18:33:08 UTC 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testGetTitle"
"","438","testClickRatingStarsNumber","Surefire suite","Mon Oct 06 18:32:41 UTC 2025","passed","Mon Oct 06 18:32:41 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickRatingStarsNumber"
"","929","testGetItem","Surefire suite","Mon Oct 06 18:32:37 UTC 2025","passed","Mon Oct 06 18:32:38 UTC 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","testGetItem"
"","430","testClickDropDownChooseItem","Surefire suite","Mon Oct 06 18:32:53 UTC 2025","broken","Mon Oct 06 18:32:54 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseItem"
"","495","testAddTag","Surefire suite","Mon Oct 06 18:32:59 UTC 2025","passed","Mon Oct 06 18:33:00 UTC 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","9","testMainPage","Surefire suite","Mon Oct 06 18:33:07 UTC 2025","passed","Mon Oct 06 18:33:07 UTC 2025","playground.tests.PlayGroundMainTest","Surefire test","playground.tests.PlayGroundMainTest","testMainPage"
"","648","testClickMenuItem","Surefire suite","Mon Oct 06 18:33:14 UTC 2025","passed","Mon Oct 06 18:33:15 UTC 2025","playground.tests.RightClickMenuTest","Surefire test","playground.tests.RightClickMenuTest","testClickMenuItem"
"","502","testSortList","Surefire suite","Mon Oct 06 18:32:50 UTC 2025","passed","Mon Oct 06 18:32:51 UTC 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testSortList"
"","148","testPopUpTitlePage","Surefire suite","Mon Oct 06 18:33:11 UTC 2025","passed","Mon Oct 06 18:33:11 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpTitlePage"
"","245","testGetTitleOnBoardingPage","Surefire suite","Mon Oct 06 18:32:48 UTC 2025","passed","Mon Oct 06 18:32:48 UTC 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","635","testClickDropDownChooseOtherItem","Surefire suite","Mon Oct 06 18:32:55 UTC 2025","passed","Mon Oct 06 18:32:55 UTC 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","531","testDeleteRecord","Surefire suite","Mon Oct 06 18:32:44 UTC 2025","passed","Mon Oct 06 18:32:45 UTC 2025","playground.tests.BudgetTrackerTest","Surefire test","playground.tests.BudgetTrackerTest","testDeleteRecord"
"","26","testGetPercent","Surefire suite","Mon Oct 06 18:33:19 UTC 2025","broken","Mon Oct 06 18:33:19 UTC 2025","playground.tests.ShadowDomTest","Surefire test","playground.tests.ShadowDomTest","testGetPercent"
"","447","testPopUpText","Surefire suite","Mon Oct 06 18:33:10 UTC 2025","passed","Mon Oct 06 18:33:10 UTC 2025","playground.tests.PopUpWindowTest","Surefire test","playground.tests.PopUpWindowTest","testPopUpText"
"","487","testClickAllStars","Surefire suite","Mon Oct 06 18:32:40 UTC 2025","passed","Mon Oct 06 18:32:40 UTC 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickAllStars"
