"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Playground","0","CoveredElements","1","0","ScrollAndClickButton","0"
"3","","0","","33","0","","1"
"0","Playground","0","BudgetTracker","2","0","Record","0"
